Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,,Yellow_block,RG_meth,SRC_method
13/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax spinifera,12,114,571,2857.142857,60,27142.85714
13/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Karenia cristata,12,114,571,2857.142857,60,27142.85714
18/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax Spinifera,12,114,571,2857.142857,60,27142.85714
31/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,11,105,524,2619.047619,55,25000
01/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium dens,10,95,476,2380.952381,50,22619.04762
12/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Zygabikodinium lenticulatum,10,95,476,2380.952381,50,22619.04762
31/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium dens,9,86,429,2142.857143,45,20476.19048
03/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,8,76,381,1904.761905,40,18095.2381
10/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,8,76,381,1904.761905,40,18095.2381
21/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,8,76,381,1904.761905,40,18095.2381
03/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,7,67,333,1666.666667,35,15952.38095
07/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,7,67,333,1666.666667,35,15952.38095
09/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,7,67,333,1666.666667,35,15952.38095
10/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,7,67,333,1666.666667,35,15952.38095
12/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Pseudo-nitzschia australis,7,67,333,1666.666667,35,15952.38095
12/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Alexandrium sp.,7,67,333,1666.666667,35,15952.38095
12/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium diabolum,7,67,333,1666.666667,35,15952.38095
13/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Pseudo-nitzschia australis,7,67,333,1666.666667,35,15952.38095
13/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium tripos,7,67,333,1666.666667,35,15952.38095
13/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium oceanicum,7,67,333,1666.666667,35,15952.38095
18/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Zygabikodinium lenticulatum,7,67,333,1666.666667,35,15952.38095
15/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,6,57,286,1428.571429,30,13571.42857
21/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium fusus,6,57,286,1428.571429,30,13571.42857
03/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,5,48,238,1190.47619,25,11428.57143
03/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium diabolum,5,48,238,1190.47619,25,11428.57143
